,countryname,countrycode,date_start,date_end,stay_home,stay_home_flag,announce,start,end,enforce,group,country_label,all_requ,gen_requ,tar_requ,all_reco,date_start_gen_req_min,check1,first_order,national_required,update_date,update_policy,update_scope,subcountry_first,recommendation_first
529,Turkey,TUR,4/11/2020,4/12/2020,3_required,0_targeted,4/20/2020,4/23/2020,4/26/2020,mandatory,treatment,t_TUR,TRUE,TRUE,TRUE,TRUE,3/21/2020,FALSE,FALSE,TRUE,,,,TRUE,TRUE
563,Vietnam,VNM,1/1/2020,3/31/2020,0_no_measures,missing,4/1/2020,4/1/2020,4/22/2020,mandatory,treatment,t_VNM,TRUE,TRUE,TRUE,FALSE,4/1/2020,TRUE,TRUE,,,,,,
530,Turkey,TUR,4/13/2020,4/17/2020,2_required_exceptions,1_general,4/20/2020,4/23/2020,4/26/2020,mandatory,treatment,t_TUR,TRUE,TRUE,TRUE,TRUE,3/21/2020,FALSE,FALSE,TRUE,,,,TRUE,TRUE
531,Turkey,TUR,4/18/2020,4/19/2020,3_required,0_targeted,4/20/2020,4/23/2020,4/26/2020,mandatory,treatment,t_TUR,TRUE,TRUE,TRUE,TRUE,3/21/2020,FALSE,FALSE,TRUE,,,,TRUE,TRUE
566,Vietnam,VNM,4/22/2020,5/31/2020,0_no_measures,missing,4/1/2020,4/1/2020,4/22/2020,mandatory,treatment,t_VNM,TRUE,TRUE,TRUE,FALSE,4/1/2020,TRUE,TRUE,,,,,,
567,Yemen,YEM,1/1/2020,4/30/2020,0_no_measures,missing,NA,NA,NA,NA,NA,na_YEM,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,,,,,,
532,Turkey,TUR,4/20/2020,5/31/2020,2_required_exceptions,1_general,4/20/2020,4/23/2020,4/26/2020,mandatory,treatment,t_TUR,TRUE,TRUE,TRUE,TRUE,3/21/2020,FALSE,FALSE,TRUE,,,,TRUE,TRUE
557,Uzbekistan,UZB,3/27/2020,5/7/2020,2_required_exceptions,1_general,4/1/2020,4/1/2020,5/10/2020,mandatory,treatment,t_UZB,TRUE,TRUE,TRUE,FALSE,3/27/2020,FALSE,FALSE,TRUE,,,,FALSE,FALSE
558,Uzbekistan,UZB,5/8/2020,5/31/2020,2_required_exceptions,0_targeted,4/1/2020,4/1/2020,5/10/2020,mandatory,treatment,t_UZB,TRUE,TRUE,TRUE,FALSE,3/27/2020,FALSE,FALSE,TRUE,,,,FALSE,FALSE
571,Zambia,ZMB,1/1/2020,4/8/2020,0_no_measures,missing,,NA,,,control,c_ZMB,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,,,,,,
562,Venezuela,VEN,3/13/2020,5/31/2020,2_required_exceptions,1_general,3/16/2020,3/17/2020,5/31/2020,mandatory,treatment,t_VEN,TRUE,TRUE,FALSE,FALSE,3/13/2020,FALSE,FALSE,TRUE,,,,FALSE,FALSE
564,Vietnam,VNM,4/1/2020,4/14/2020,2_required_exceptions,1_general,4/1/2020,4/1/2020,4/22/2020,mandatory,treatment,t_VNM,TRUE,TRUE,TRUE,FALSE,4/1/2020,TRUE,TRUE,TRUE,,,,FALSE,FALSE
574,Zambia,ZMB,5/8/2020,5/31/2020,0_no_measures,missing,,NA,,,control,c_ZMB,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,,,,,,
575,Zimbabwe,ZWE,1/1/2020,3/22/2020,0_no_measures,missing,NA,NA,NA,NA,NA,na_ZWE,TRUE,TRUE,FALSE,TRUE,3/30/2020,NA,NA,,,,,,
565,Vietnam,VNM,4/15/2020,4/21/2020,2_required_exceptions,0_targeted,4/1/2020,4/1/2020,4/22/2020,mandatory,treatment,t_VNM,TRUE,TRUE,TRUE,FALSE,4/1/2020,TRUE,TRUE,TRUE,,,,FALSE,FALSE
474,South Africa,ZAF,3/26/2020,5/31/2020,2_required_exceptions,1_general,3/23/2020,3/26/2020,4/30/2020,mandatory,treatment,t_ZAF,TRUE,TRUE,FALSE,FALSE,3/26/2020,TRUE,TRUE,TRUE,,,,FALSE,FALSE
