"","countryname","countrycode","stay_home","stay_home_flag","date_start","date_end"
"49","Barbados","BRB","2_required_exceptions","1_general",2020-05-04,2020-05-31
"50","Belarus","BLR","0_no_measures","missing",2020-01-01,2020-05-31
"51","Belgium","BEL","0_no_measures","missing",2020-01-01,2020-03-17
"52","Belgium","BEL","2_required_exceptions","1_general",2020-03-18,2020-05-31
"53","Belize","BLZ","0_no_measures","missing",2020-01-01,2020-04-26
"54","Belize","BLZ","2_required_exceptions","0_targeted",2020-04-27,2020-05-14
"55","Belize","BLZ","2_required_exceptions","1_general",2020-05-15,2020-05-31
"56","Benin","BEN","0_no_measures","missing",2020-01-01,2020-05-31
"57","Bermuda","BMU","0_no_measures","missing",2020-01-01,2020-04-03
"58","Bermuda","BMU","2_required_exceptions","1_general",2020-04-04,2020-05-01
"59","Bermuda","BMU","1_recommended","1_general",2020-05-02,2020-05-31
"60","Bhutan","BTN","0_no_measures","missing",2020-01-01,2020-03-25
"61","Bhutan","BTN","1_recommended","1_general",2020-03-26,2020-05-31
"62","Bolivia","BOL","0_no_measures","missing",2020-01-01,2020-03-16
"63","Bolivia","BOL","2_required_exceptions","1_general",2020-03-17,2020-05-31
"64","Bosnia and Herzegovina","BIH","0_no_measures","missing",2020-01-01,2020-03-19
"65","Bosnia and Herzegovina","BIH","3_required","0_targeted",2020-03-20,2020-04-23
"66","Bosnia and Herzegovina","BIH","2_required_exceptions","1_general",2020-04-24,2020-05-13
"67","Bosnia and Herzegovina","BIH","2_required_exceptions","0_targeted",2020-05-14,2020-05-20
"68","Bosnia and Herzegovina","BIH","0_no_measures","missing",2020-05-21,2020-05-31
"69","Botswana","BWA","0_no_measures","missing",2020-01-01,2020-04-01
"70","Botswana","BWA","2_required_exceptions","0_targeted",2020-04-02,2020-05-19
"71","Botswana","BWA","1_recommended","1_general",2020-05-20,2020-05-31
"72","Brazil","BRA","0_no_measures","missing",2020-01-01,2020-03-12
"73","Brazil","BRA","1_recommended","0_targeted",2020-03-13,2020-05-04
"74","Brazil","BRA","2_required_exceptions","0_targeted",2020-05-05,2020-05-31
"75","British Virgin Islands","VGB","0_no_measures","missing",2020-01-01,2020-03-24
"76","British Virgin Islands","VGB","2_required_exceptions","1_general",2020-03-25,2020-03-26
"77","British Virgin Islands","VGB","3_required","1_general",2020-03-27,2020-04-26
"78","British Virgin Islands","VGB","2_required_exceptions","1_general",2020-04-27,2020-05-31
"79","Brunei","BRN","0_no_measures","missing",2020-01-01,2020-05-31
"80","Bulgaria","BGR","0_no_measures","missing",2020-01-01,2020-03-17
"81","Bulgaria","BGR","2_required_exceptions","0_targeted",2020-03-18,2020-03-31
"82","Bulgaria","BGR","1_recommended","1_general",2020-04-01,2020-04-14
"83","Bulgaria","BGR","2_required_exceptions","0_targeted",2020-04-15,2020-05-07
"84","Bulgaria","BGR","1_recommended","1_general",2020-05-08,2020-05-30
"85","Bulgaria","BGR","0_no_measures","missing",2020-05-31,2020-05-31
"86","Burkina Faso","BFA","0_no_measures","missing",2020-01-01,2020-03-20
"87","Burkina Faso","BFA","2_required_exceptions","1_general",2020-03-21,2020-05-31
"88","Burundi","BDI","0_no_measures","missing",2020-01-01,2020-03-04
"89","Burundi","BDI","3_required","1_general",2020-03-05,2020-05-31
"90","Cambodia","KHM","0_no_measures","missing",2020-01-01,2020-05-31
"91","Cameroon","CMR","0_no_measures","missing",2020-01-01,2020-05-31
"92","Canada","CAN","0_no_measures","missing",2020-01-01,2020-03-13
"93","Canada","CAN","1_recommended","0_targeted",2020-03-14,2020-03-15
"94","Canada","CAN","1_recommended","1_general",2020-03-16,2020-05-31
"95","Cape Verde","CPV","0_no_measures","missing",2020-01-01,2020-03-19
"96","Cape Verde","CPV","1_recommended","0_targeted",2020-03-20,2020-03-31
"97","Cape Verde","CPV","2_required_exceptions","1_general",2020-04-01,2020-05-31
"98","Cayman Islands","CYM","0_no_measures","missing",2020-01-01,2020-03-23
"99","Cayman Islands","CYM","2_required_exceptions","1_general",2020-03-24,2020-03-24
"100","Cayman Islands","CYM","3_required","1_general",2020-03-25,2020-03-27
"101","Cayman Islands","CYM","2_required_exceptions","1_general",2020-03-28,2020-04-15
"102","Cayman Islands","CYM","3_required","1_general",2020-04-16,2020-05-04
"103","Cayman Islands","CYM","2_required_exceptions","0_targeted",2020-05-05,2020-05-31
"104","Central African Republic","CAF","0_no_measures","missing",2020-01-01,2020-05-07
"105","Central African Republic","CAF","2_required_exceptions","1_general",2020-05-08,2020-05-31
"106","Chad","TCD","0_no_measures","missing",2020-01-01,2020-04-01
"107","Chad","TCD","2_required_exceptions","0_targeted",2020-04-02,2020-05-31
"108","Chile","CHL","0_no_measures","missing",2020-01-01,2020-03-24
"109","Chile","CHL","2_required_exceptions","1_general",2020-03-25,2020-05-14
"110","Chile","CHL","3_required","0_targeted",2020-05-15,2020-05-31
"111","China","CHN","0_no_measures","missing",2020-01-01,2020-01-22
"112","China","CHN","1_recommended","0_targeted",2020-01-23,2020-01-31
"113","China","CHN","3_required","0_targeted",2020-02-01,2020-04-07
"114","China","CHN","1_recommended","0_targeted",2020-04-08,2020-05-09
"115","China","CHN","3_required","0_targeted",2020-05-10,2020-05-31
"116","Colombia","COL","0_no_measures","missing",2020-01-01,2020-03-24
"117","Colombia","COL","2_required_exceptions","1_general",2020-03-25,2020-05-31
"118","Congo","COG","0_no_measures","missing",2020-01-01,2020-03-27
"119","Congo","COG","3_required","1_general",2020-03-28,2020-05-17
"120","Congo","COG","2_required_exceptions","1_general",2020-05-18,2020-05-31
"121","Costa Rica","CRI","0_no_measures","missing",2020-01-01,2020-03-31
"122","Costa Rica","CRI","1_recommended","1_general",2020-04-01,2020-05-31
"123","Cote d'Ivoire","CIV","0_no_measures","missing",2020-01-01,2020-03-22
"124","Cote d'Ivoire","CIV","1_recommended","1_general",2020-03-23,2020-05-31
"125","Croatia","HRV","0_no_measures","missing",2020-01-01,2020-03-22
"126","Croatia","HRV","2_required_exceptions","1_general",2020-03-23,2020-05-10
"127","Croatia","HRV","1_recommended","1_general",2020-05-11,2020-05-31
"128","Cuba","CUB","0_no_measures","missing",2020-01-01,2020-03-23
"129","Cuba","CUB","2_required_exceptions","0_targeted",2020-03-24,2020-05-04
"130","Cuba","CUB","2_required_exceptions","1_general",2020-05-05,2020-05-10
"131","Cuba","CUB","3_required","1_general",2020-05-11,2020-05-31
"132","Cyprus","CYP","0_no_measures","missing",2020-01-01,2020-03-23
"133","Cyprus","CYP","2_required_exceptions","1_general",2020-03-24,2020-05-20
"134","Cyprus","CYP","1_recommended","1_general",2020-05-21,2020-05-31
"135","Czech Republic","CZE","0_no_measures","missing",2020-01-01,2020-03-14
"136","Czech Republic","CZE","2_required_exceptions","1_general",2020-03-15,2020-04-20
"137","Czech Republic","CZE","1_recommended","1_general",2020-04-21,2020-05-31
"138","Democratic Republic of Congo","COD","0_no_measures","missing",2020-01-01,2020-04-05
"139","Democratic Republic of Congo","COD","2_required_exceptions","0_targeted",2020-04-06,2020-05-31
"140","Denmark","DNK","0_no_measures","missing",2020-01-01,2020-03-02
"141","Denmark","DNK","1_recommended","1_general",2020-03-03,2020-05-31
"142","Djibouti","DJI","0_no_measures","missing",2020-01-01,2020-03-22
"143","Djibouti","DJI","3_required","1_general",2020-03-23,2020-05-16
"144","Djibouti","DJI","0_no_measures","missing",2020-05-17,2020-05-31
"145","Dominica","DMA","0_no_measures","missing",2020-01-01,2020-03-31
"146","Dominica","DMA","2_required_exceptions","1_general",2020-04-01,2020-05-11
"147","Dominica","DMA","1_recommended","1_general",2020-05-12,2020-05-31
"148","Dominican Republic","DOM","0_no_measures","missing",2020-01-01,2020-03-16
"149","Dominican Republic","DOM","1_recommended","1_general",2020-03-17,2020-04-17
"150","Dominican Republic","DOM","2_required_exceptions","1_general",2020-04-18,2020-04-27
"151","Dominican Republic","DOM","3_required","1_general",2020-04-28,2020-05-17
"152","Dominican Republic","DOM","2_required_exceptions","1_general",2020-05-18,2020-05-31
"153","Ecuador","ECU","0_no_measures","missing",2020-01-01,2020-03-16
"154","Ecuador","ECU","2_required_exceptions","1_general",2020-03-17,2020-05-31
"155","Egypt","EGY","0_no_measures","missing",2020-01-01,2020-03-24
"156","Egypt","EGY","2_required_exceptions","1_general",2020-03-25,2020-05-31
"157","El Salvador","SLV","0_no_measures","missing",2020-01-01,2020-03-20
"158","El Salvador","SLV","3_required","1_general",2020-03-21,2020-05-31
"159","Eritrea","ERI","0_no_measures","missing",2020-01-01,2020-03-22
"160","Eritrea","ERI","1_recommended","1_general",2020-03-23,2020-03-31
"161","Eritrea","ERI","2_required_exceptions","1_general",2020-04-01,2020-05-31
"162","Estonia","EST","0_no_measures","missing",2020-01-01,2020-03-28
"163","Estonia","EST","2_required_exceptions","0_targeted",2020-03-29,2020-05-17
"164","Estonia","EST","0_no_measures","missing",2020-05-18,2020-05-31
"165","Eswatini","SWZ","0_no_measures","missing",2020-01-01,2020-03-26
"166","Eswatini","SWZ","2_required_exceptions","1_general",2020-03-27,2020-05-31
"167","Ethiopia","ETH","0_no_measures","missing",2020-01-01,2020-04-07
"168","Ethiopia","ETH","1_recommended","1_general",2020-04-08,2020-05-31
"169","Falkland Islands","FLK","0_no_measures","missing",2020-01-01,2020-03-25
