policy_id,province_region,response_level,date_announce,date_start,source type,link,policy_facemask,policy_business,policy_institution,policy_office,policy_school,created_by,verified_by,verification_action,verification_notes
X2,Hubei,Level I,1/24/2020,1/24/2020,Government announcement,http://www.gov.cn/xinwen/2020-01/24/content_5471995.htm,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Xinyi,Puxi,,
X1,Hubei,Level II,1/21/2020,1/21/2020,Government announcement,http://www.gov.cn/xinwen/2020-01/22/content_5471772.htm,L1 - Hygiene,L1 - Hygiene,L1 - Hygiene,L1 - Hygiene,L5 - Closing,Xinyi,Puxi,,
X3,Hubei,Level II,5/1/2020,5/2/2020,Government announcement,http://www.gov.cn/xinwen/2020-05/01/content_5508143.htm,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Xinyi,Puxi,,
X4,Hubei,Level III,6/12/2020,6/13/2020,Government announcement,http://www.gov.cn/xinwen/2020-06/12/content_5519086.htm,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Xinyi,Puxi,,
X15,Hunan,Level I,1/24/2020,1/24/2020,News source,http://www.xinhuanet.com/2020-01/24/c_1125498570.htm,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Xinyi,Puxi,,
X16,Hunan,Level II,3/10/2020,3/10/2020,News source,https://new.qq.com/omn/20200311/20200311A05ISX00.html,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Xinyi,Puxi,,
X17,Hunan,Level III,3/31/2020,3/31/2020,Government announcement,http://www.gov.cn/xinwen/2020-04/01/content_5497885.htm,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Xinyi,Puxi,,
P27,Jiangsu,Level I,1/24/2020,1/24/2020,Government announcement,http://www.jiangsu.gov.cn/art/2020/1/24/art_60096_8956398.html,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Puxi,Xinyi,,
P28,Jiangsu,Level II,2/25/2020,2/25/2020,Government announcement,http://www.jiangsu.gov.cn/art/2020/2/25/art_76935_8983378.html,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Puxi,Xinyi,,
P29,Jiangsu,Level III,3/28/2020,3/28/2020,Government announcement,http://www.jiangsu.gov.cn/art/2020/3/28/art_76928_9026850.html,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Puxi,Xinyi,,
X12,Jiangxi,Level I,1/24/2020,1/24/2020,News source,http://jx.people.com.cn/GB/n2/2020/0124/c190260-33743325.html,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Xinyi,Puxi,,
X13,Jiangxi,Level II - var,3/12/2020,3/12/2020,News source,https://m.gmw.cn/2020-03/12/content_1301041223.htm,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Xinyi,Puxi,,variable within the province
X14,Jiangxi,Level III,3/20/2020,3/20/2020,News source,https://xw.qq.com/cmsid/20200320A0QUBE00,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Xinyi,Puxi,,
